run,iteration,topic,num_rel,num_rel_ret,recip_rank,P_5,P_10,P_20,infAP,ndcg,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,map_cut_5,map_cut_10,map_cut_20,success_1,success_5,success_10
aaaaxxxxxx,1,all,5,4,1.0000,0.8000,0.4000,0.2000,0.8000,0.8688,0.8688,0.8688,0.8688,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000
aaxxaaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7962,0.9182,0.6844,0.9182,0.9182,0.5200,0.7962,0.7962,1.0000,1.0000,1.0000
xaaxxaa,1,all,5,4,0.5000,0.4000,0.4000,0.2000,0.4476,0.6174,0.3836,0.6174,0.6174,0.2333,0.4476,0.4476,0.0000,1.0000,1.0000
xaxxax,1,all,5,2,0.5000,0.4000,0.2000,0.1000,0.1800,0.3452,0.3452,0.3452,0.3452,0.1800,0.1800,0.1800,0.0000,1.0000,1.0000
axxaxxaaxx,1,1,5,4,1.0000,0.4000,0.4000,0.2000,0.4857,0.7053,0.4852,0.7053,0.7053,0.3000,0.4857,0.4857,1.0000,1.0000,1.0000
xaxaxaxxxx,1,all,5,3,0.5000,0.4000,0.3000,0.1500,0.3000,0.4809,0.3601,0.4809,0.4809,0.2000,0.3000,0.3000,0.0000,1.0000,1.0000
xxxaaaxx,1,all,5,3,0.2500,0.4000,0.3000,0.1500,0.2300,0.3981,0.2773,0.3981,0.3981,0.1300,0.2300,0.2300,0.0000,1.0000,1.0000
xaaaxax,1,1,5,4,0.5000,0.6000,0.4000,0.2000,0.5167,0.6504,0.5296,0.6504,0.6504,0.3833,0.5167,0.5167,0.0000,1.0000,1.0000
xaxaaxa,1,1,5,4,0.5000,0.6000,0.4000,0.2000,0.4343,0.6043,0.4913,0.6043,0.6043,0.3200,0.4343,0.4343,0.0000,1.0000,1.0000
xaxxxaxaaa,1,1,5,5,0.5000,0.2000,0.5000,0.2500,0.4306,0.6419,0.2140,0.6419,0.6419,0.1000,0.4306,0.4306,0.0000,1.0000,1.0000
aaxxaaaxaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7962,0.9182,0.6844,0.9182,0.9182,0.5200,0.7962,0.7962,1.0000,1.0000,1.0000
xaxxaxaa,1,all,5,4,0.5000,0.4000,0.4000,0.2000,0.3657,0.5652,0.3452,0.5652,0.5652,0.1800,0.3657,0.3657,0.0000,1.0000,1.0000
axaxxaaaxx,1,1,5,5,1.0000,0.4000,0.5000,0.2500,0.6726,0.8496,0.5087,0.8496,0.8496,0.3333,0.6726,0.6726,1.0000,1.0000,1.0000
aaxxxxaxxx,1,all,5,3,1.0000,0.4000,0.3000,0.1500,0.4857,0.6662,0.5531,0.6662,0.6662,0.4000,0.4857,0.4857,1.0000,1.0000,1.0000
xaxxaaxxxx,1,all,5,3,0.5000,0.4000,0.3000,0.1500,0.2800,0.4660,0.3452,0.4660,0.4660,0.1800,0.2800,0.2800,0.0000,1.0000,1.0000
axxaxxxaaa,1,all,5,5,1.0000,0.4000,0.5000,0.2500,0.5639,0.7924,0.4852,0.7924,0.7924,0.3000,0.5639,0.5639,1.0000,1.0000,1.0000
aaxxxaaxax,1,all,5,5,1.0000,0.4000,0.5000,0.2500,0.7254,0.8891,0.5531,0.8891,0.8891,0.4000,0.7254,0.7254,1.0000,1.0000,1.0000
axxaxaxxaa,1,all,5,5,1.0000,0.4000,0.5000,0.2500,0.5889,0.8062,0.4852,0.8062,0.8062,0.3000,0.5889,0.5889,1.0000,1.0000,1.0000
aaaxxaaxa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.8762,0.9566,0.7227,0.9566,0.9566,0.6000,0.8762,0.8762,1.0000,1.0000,1.0000
axxxaxax,1,all,5,3,1.0000,0.4000,0.3000,0.1500,0.3657,0.5834,0.4704,0.5834,0.5834,0.2800,0.3657,0.3657,1.0000,1.0000,1.0000
aaaaaaaxax,1,1,5,5,1.0000,1.0000,0.5000,0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
xxaxax,1,1,5,2,0.3333,0.4000,0.2000,0.1000,0.1467,0.3008,0.3008,0.3008,0.3008,0.1467,0.1467,0.1467,0.0000,1.0000,1.0000
aaxaaaaa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.8767,0.9512,0.8304,0.9512,0.9512,0.7100,0.8767,0.8767,1.0000,1.0000,1.0000
aaaaxxxxaa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9111,0.9709,0.8688,0.9709,0.9709,0.8000,0.9111,0.9111,1.0000,1.0000,1.0000
aaxaxaxxa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.7944,0.9221,0.6992,0.9221,0.9221,0.5500,0.7944,0.7944,1.0000,1.0000,1.0000
aaaxaxxax,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.8850,0.9609,0.8539,0.9609,0.9609,0.7600,0.8850,0.8850,1.0000,1.0000,1.0000
xxaxaxaaax,1,1,5,5,0.3333,0.4000,0.5000,0.2500,0.4435,0.6229,0.3008,0.6229,0.6229,0.1467,0.4435,0.4435,0.0000,1.0000,1.0000
xaaxxaaaxa,1,all,5,5,0.5000,0.4000,0.5000,0.2500,0.5726,0.7244,0.3836,0.7244,0.7244,0.2333,0.5726,0.5726,0.0000,1.0000,1.0000
aaaxaxaaxa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9029,0.9670,0.8539,0.9670,0.9670,0.7600,0.9029,0.9029,1.0000,1.0000,1.0000
aaxaxxxxa,1,all,5,4,1.0000,0.6000,0.4000,0.2000,0.6389,0.8013,0.6992,0.8013,0.8013,0.5500,0.6389,0.6389,1.0000,1.0000,1.0000
axaaxaaaa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.7595,0.8887,0.6548,0.8887,0.8887,0.4833,0.7595,0.7595,1.0000,1.0000,1.0000
aaaxaaaxxa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9267,0.9747,0.8539,0.9747,0.9747,0.7600,0.9267,0.9267,1.0000,1.0000,1.0000
xaaxaaxxaa,1,1,5,5,0.5000,0.6000,0.5000,0.2500,0.5978,0.7377,0.5148,0.7377,0.7377,0.3533,0.5978,0.5978,0.0000,1.0000,1.0000
xxaxxxaaa,1,all,5,4,0.3333,0.2000,0.4000,0.2000,0.2877,0.4917,0.1696,0.4917,0.4917,0.0667,0.2877,0.2877,0.0000,1.0000,1.0000
aaaaaaaxaa,1,all,5,5,1.0000,1.0000,0.5000,0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
xaxxxaxaax,1,all,5,4,0.5000,0.2000,0.4000,0.2000,0.3306,0.5439,0.2140,0.5439,0.5439,0.1000,0.3306,0.3306,0.0000,1.0000,1.0000
xa,1,1,5,1,0.5000,0.2000,0.1000,0.0500,0.1000,0.2140,0.2140,0.2140,0.2140,0.1000,0.1000,0.1000,0.0000,1.0000,1.0000
xxxxaxxxxa,1,all,5,2,0.2000,0.2000,0.2000,0.1000,0.0800,0.2292,0.1312,0.2292,0.2292,0.0400,0.0800,0.0800,0.0000,1.0000,1.0000
xxaxxaxx,1,all,5,2,0.3333,0.2000,0.2000,0.1000,0.1333,0.2904,0.1696,0.2904,0.2904,0.0667,0.1333,0.1333,0.0000,1.0000,1.0000
aaaaxaxaa,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9667,0.9896,0.8688,0.9896,0.9896,0.8000,0.9667,0.9667,1.0000,1.0000,1.0000
xaxaaaxaax,1,1,5,5,0.5000,0.6000,0.5000,0.2500,0.5783,0.7191,0.4913,0.7191,0.7191,0.3200,0.5783,0.5783,0.0000,1.0000,1.0000
axxxxaaa,1,all,5,4,1.0000,0.2000,0.4000,0.2000,0.4524,0.6800,0.3392,0.6800,0.6800,0.2000,0.4524,0.4524,1.0000,1.0000,1.0000
xxaaaxaaxx,1,all,5,5,0.3333,0.6000,0.5000,0.2500,0.5260,0.6669,0.4469,0.6669,0.6669,0.2867,0.5260,0.5260,0.0000,1.0000,1.0000
aaaxaxxaxa,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.8850,0.9609,0.8539,0.9609,0.9609,0.7600,0.8850,0.8850,1.0000,1.0000,1.0000
xxxxaxxa,1,1,5,2,0.2000,0.2000,0.2000,0.1000,0.0900,0.2382,0.1312,0.2382,0.2382,0.0400,0.0900,0.0900,0.0000,1.0000,1.0000
xxxxaxxxx,1,all,5,1,0.2000,0.2000,0.1000,0.0500,0.0400,0.1312,0.1312,0.1312,0.1312,0.0400,0.0400,0.0400,0.0000,1.0000,1.0000
xaxxxxxxa,1,1,5,2,0.5000,0.2000,0.2000,0.1000,0.1444,0.3161,0.2140,0.3161,0.3161,0.1000,0.1444,0.1444,0.0000,1.0000,1.0000
xxxaxaxxax,1,all,5,3,0.2500,0.2000,0.3000,0.1500,0.1833,0.3690,0.1461,0.3690,0.3690,0.0500,0.1833,0.1833,0.0000,1.0000,1.0000
