,run,iteration,topic,rbu_0.800_0.001,rbu_0.800_0.050,rbu_0.800_0.100,rbu_0.800_0.500,rbu_0.900_0.001,rbu_0.900_0.050,rbu_0.900_0.100,rbu_0.900_0.500,rbu_0.990_0.001,rbu_0.990_0.050,rbu_0.990_0.100,rbu_0.990_0.500,alpha-DCG,NRBP,strec,ERR-IA,alpha-nDCG,nNRBP,MAP-IA,nERR-IA,P-IA,act,nct,nsDCG,p,rtime,ntime,ttime,nEU
1668,GT_TenthIterBaseline,10,50,0.33060005709,0.134602854495,-0.0653942910092,-1.66537145505,0.372048727727,-0.0666784574067,-0.514359258563,-4.09580566782,0.385597069631,-1.53051849868,-3.48573846635,-19.1274982077,0.359737,0.386719,0.5,0.383216,0.479783,0.65035,0.104167,0.584721,0.015,0.1303036,0.45,0.2717873,0.04,0.1,-10.0,-429.60784,0.973175
1669,GT_TenthIterBaseline,10,53,0.458866321865,0.26286911927,0.0628719737656,-1.53710519027,0.526104634028,0.0873774488949,-0.360303352262,-3.94174976152,0.571422359506,-1.34469320881,-3.29991317648,-18.9416729178,0.63603,0.647058,0.8,0.652218,0.838023,0.882303,0.4535,0.867888,0.04,0.1845829,0.7386364,0.7502699,0.08,0.1,-10.0,-472.89316,0.9850186
1670,GT_TenthIterBaseline,10,52,0.0379058495732,-0.158091353021,-0.358088498526,-1.95806566256,0.0789561961447,-0.359770988989,-0.807451790146,-4.3888981994,0.154959843467,-1.76115572485,-3.71637569252,-19.3581354339,0.103028,0.01576,0.416667,0.048233,0.206207,0.053803,0.015724,0.130987,0.011667,0.0289671,0.2113402,0.081497,0.08,0.1,-10.0,-460.26418,0.9540792
1671,GT_TenthIterBaseline,10,19,-0.00399994291009,-0.199997145505,-0.399994291009,-1.99997145505,-0.00895361602313,-0.447680801157,-0.895361602313,-4.47680801157,-0.0391043993534,-1.95521996767,-3.91043993534,-19.5521996767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-10.0,-498.4951,0.8057975
1672,GT_TenthIterBaseline,10,37,-0.00399994291009,-0.199997145505,-0.399994291009,-1.99997145505,-0.00895361602313,-0.447680801157,-0.895361602313,-4.47680801157,-0.0391043993534,-1.95521996767,-3.91043993534,-19.5521996767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-10.0,-462.5878,0.9868607
1673,GT_TenthIterBaseline,10,18,0.0728766872487,-0.123120515346,-0.32311766085,-1.92309482489,0.105974353813,-0.332752831321,-0.780433632477,-4.36188004173,0.13602307941,-1.78009248891,-3.73531245657,-19.3770721979,0.47007,0.355865,0.666667,0.408263,0.599972,0.474487,0.018111,0.537505,0.053333,0.1376392,0.5446429,0.0410233,0.1,0.1,-10.0,-472.66852,0.7728952
1674,GT_TenthIterBaseline,1,all,0.15382388842,0.0220491684199,-0.11241483158,-1.18812683158,0.20099182672,0.0203979167196,-0.16388158328,-1.63811758328,0.254488127077,0.0167408591423,-0.225858393853,-2.16665241781,0.237503,0.197847,0.449008,0.213992,0.291748,0.24766,0.058164,0.266068,0.148518,0.1639372,0.2474194,0.2073608,0.3207547,1.0,-1.0,-105.1541958,0.7624482
1675,GT_TenthIterBaseline,1,30,-0.00268928,-0.134464,-0.268928,-1.34464,-0.00368559,-0.1842795,-0.368559,-1.842795,-0.0048519850599,-0.242599252995,-0.48519850599,-2.42599252995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-94.22644,0.974331
1676,GT_TenthIterBaseline,1,28,0.0306440533333,-0.101130666667,-0.235594666667,-1.31130666667,0.03381441,-0.1467795,-0.331059,-1.805295,0.0363980149401,-0.201349252995,-0.44394850599,-2.38474252995,0.109759,0.125,0.166667,0.121029,0.154999,0.182584,0.027778,0.174545,0.033333,0.0333333,0.0345572,0.0675676,0.2,1.0,-1.0,-94.48618,0.8659502
1677,GT_TenthIterBaseline,1,29,0.06131072,-0.070464,-0.204928,-1.28064,0.08743941,-0.0931545,-0.277434,-1.75167,0.11643538994,-0.121311877995,-0.36391113099,-2.30470515495,0.082319,0.046875,0.25,0.060514,0.179231,0.111511,0.083333,0.139373,0.05,0.045,0.096,0.1280454,0.2,1.0,-1.0,-109.29136,0.8905722
