iteration,dimensions,metric,mu,m_ij,set_ij,m_set_ij
5,strec+p,nERR-IA,0.7933043575412737,58528.0,63028.0,54615.0
5,strec+p,rbu_0.990_0.050,0.5248869623863783,58528.0,63028.0,45343.0
5,strec+ttime,act,0.6006373170691371,58528.0,33229.0,25194.0
5,strec+ttime,nct,0.7863440193161316,58528.0,33229.0,28655.0
5,strec+ttime,nEU,0.48633829084648245,58528.0,33229.0,23275.0
5,strec+ttime,nsDCG,0.33209512104436145,58528.0,33229.0,20915.0
5,strec+ttime,alpha-nDCG,0.4480869358731338,58528.0,33229.0,22666.0
5,strec+ttime,nERR-IA,0.4512024284570688,58528.0,33229.0,22715.0
5,strec+ttime,rbu_0.990_0.050,0.7250988854702205,58528.0,33229.0,27464.0
5,p+ttime,act,0.702596177556401,58528.0,30083.0,24479.0
5,p+ttime,nct,0.8747263197189857,58528.0,30083.0,27581.0
5,p+ttime,nEU,0.5594000042661789,58528.0,30083.0,22166.0
5,p+ttime,nsDCG,0.46172737466765007,58528.0,30083.0,20715.0
5,p+ttime,alpha-nDCG,0.5264177909603117,58528.0,30083.0,21665.0
5,p+ttime,nERR-IA,0.5483583335438191,58528.0,30083.0,21997.0
5,p+ttime,rbu_0.990_0.050,0.8669113637367148,58528.0,30083.0,27432.0
5,strec+p+ttime,act,0.7663892519597033,58528.0,26509.0,22546.0
5,strec+p+ttime,nct,0.9093737670113882,58528.0,26509.0,24895.0
5,strec+p+ttime,nEU,0.647671623370134,58528.0,26509.0,20765.0
5,strec+p+ttime,nsDCG,0.5919299135913441,58528.0,26509.0,19978.0
5,strec+p+ttime,alpha-nDCG,0.6691872868402582,58528.0,26509.0,21077.0
5,strec+p+ttime,nERR-IA,0.6607434241393975,58528.0,26509.0,20954.0
5,strec+p+ttime,rbu_0.990_0.050,0.8829391161220499,58528.0,26509.0,24443.0
4,p,act,0.7444676631091642,58528.0,68475.0,57360.0
4,p,nct,0.7678937762272956,58528.0,68475.0,58299.0
4,p,nEU,0.48955944254515504,58528.0,68475.0,48070.0
4,p,nsDCG,0.7522686776345346,58528.0,68475.0,57671.0
4,p,alpha-nDCG,0.7631097824463757,58528.0,68475.0,58106.0
4,p,nERR-IA,0.7530439638339719,58528.0,68475.0,57702.0
4,p,rbu_0.990_0.050,0.5840281422838617,58528.0,68475.0,51323.0
4,strec,act,0.5845129547931309,58528.0,82383.0,61768.0
4,strec,nct,0.5863802797249202,58528.0,82383.0,61848.0
4,strec,nEU,0.37934791787388566,58528.0,82383.0,53580.0
4,strec,nsDCG,0.6283350761495292,58528.0,82383.0,63673.0
4,strec,alpha-nDCG,0.6623261423830281,58528.0,82383.0,65191.0
4,strec,nERR-IA,0.6419110417525252,58528.0,82383.0,64275.0
4,strec,rbu_0.990_0.050,0.37268181910025416,58528.0,82383.0,53333.0
4,ttime,act,-0.058809686896807316,58528.0,60109.0,28854.0
4,ttime,nct,0.19625276129475722,58528.0,60109.0,34434.0
4,ttime,nEU,-0.0371728257269386,58528.0,60109.0,29290.0
4,ttime,nsDCG,-0.383816052925562,58528.0,60109.0,23034.0
4,ttime,alpha-nDCG,-0.2830115696104869,58528.0,60109.0,24701.0
4,ttime,nERR-IA,-0.2364615670142376,58528.0,60109.0,25511.0
4,ttime,rbu_0.990_0.050,0.33381722542902303,58528.0,60109.0,37879.0
4,strec+p,act,0.7798061883639874,58528.0,64585.0,55443.0
4,strec+p,nct,0.7946398319665985,58528.0,64585.0,56016.0
4,strec+p,nEU,0.5285424767177933,58528.0,64585.0,46581.0
4,strec+p,nsDCG,0.80735811318656,58528.0,64585.0,56512.0
4,strec+p,alpha-nDCG,0.8277136235041239,58528.0,64585.0,57315.0
4,strec+p,nERR-IA,0.8066942063612169,58528.0,64585.0,56486.0
4,strec+p,rbu_0.990_0.050,0.5909737542352173,58528.0,64585.0,48641.0
4,strec+ttime,act,0.6014736712290828,58528.0,34143.0,25902.0
4,strec+ttime,nct,0.7918123931847261,58528.0,34143.0,29555.0
4,strec+ttime,nEU,0.48342740859567046,58528.0,34143.0,23867.0
4,strec+ttime,nsDCG,0.3719995075976139,58528.0,34143.0,22093.0
4,strec+ttime,alpha-nDCG,0.4887972100248595,58528.0,34143.0,23956.0
4,strec+ttime,nERR-IA,0.4898808116087041,58528.0,34143.0,23974.0
4,strec+ttime,rbu_0.990_0.050,0.7453330238742085,58528.0,34143.0,28618.0
4,p+ttime,act,0.7007940012504077,58528.0,30694.0,24945.0
4,p+ttime,nct,0.8682428244721728,58528.0,30694.0,28015.0
4,p+ttime,nEU,0.5647356294202598,58528.0,30694.0,22700.0
4,p+ttime,nsDCG,0.5144885658309756,58528.0,30694.0,21923.0
4,p+ttime,alpha-nDCG,0.5811659739176702,58528.0,30694.0,22960.0
4,p+ttime,nERR-IA,0.5984050668751971,58528.0,30694.0,23236.0
4,p+ttime,rbu_0.990_0.050,0.8602385898432354,58528.0,30694.0,27860.0
4,strec+p+ttime,act,0.7616248001206316,58528.0,27472.0,23288.0
4,strec+p+ttime,nct,0.9106946717502888,58528.0,27472.0,25823.0
4,strec+p+ttime,nEU,0.6473808958335381,58528.0,27472.0,21515.0
4,strec+p+ttime,nsDCG,0.6259662106096744,58528.0,27472.0,21198.0
4,strec+p+ttime,alpha-nDCG,0.705601192421214,58528.0,27472.0,22401.0
4,strec+p+ttime,nERR-IA,0.697333946570632,58528.0,27472.0,22273.0
4,strec+p+ttime,rbu_0.990_0.050,0.8851615749491674,58528.0,27472.0,25370.0
7,p,act,0.7429515916060287,58528.0,66237.0,55427.0
7,p,nct,0.7664198004054109,58528.0,66237.0,56336.0
7,p,nEU,0.4377601282145079,58528.0,66237.0,44859.0
7,p,nsDCG,0.6972310236429243,58528.0,66237.0,53698.0
7,p,alpha-nDCG,0.7139523805112754,58528.0,66237.0,54324.0
7,p,nERR-IA,0.708924312048031,58528.0,66237.0,54135.0
7,p,rbu_0.990_0.050,0.4858965937135959,58528.0,66237.0,46381.0
7,strec,act,0.5316039051345962,58528.0,81888.0,59186.0
7,strec,nct,0.5052337066217655,58528.0,81888.0,58114.0
7,strec,nEU,0.31596799568769596,58528.0,81888.0,50969.0
7,strec,nsDCG,0.6108503199289388,58528.0,81888.0,62528.0
7,strec,alpha-nDCG,0.637981004105903,58528.0,81888.0,63715.0
7,strec,nERR-IA,0.6126258312995533,58528.0,81888.0,62605.0
